family,seed,n,m,eps,kappa_theory,rate_empirical,r_squared,n_iter,converged,tightness,bound_violated
random_points,11002,30,30,1.8657547387437996,0.11381903045722826,nan,nan,5,True,,False
random_points,11002,30,30,1.3924162980579777,0.19236098563627285,nan,nan,6,True,,False
random_points,11002,30,30,1.0391629225623082,0.3117447630502299,nan,nan,6,True,,False
random_points,11002,30,30,0.7755292588389932,0.473761637261263,nan,nan,7,True,,False
random_points,11002,30,30,0.5787789558853272,0.6587950708225502,0.08359304592072409,0.9999968984504354,9,True,0.1681616620188768,False
random_points,11002,30,30,0.4319438318512952,0.8246683361905808,0.13872240867929556,0.9999989031011075,11,True,0.09759322776299895,False
random_points,11002,30,30,0.32236050045908365,0.9336098539323023,0.21785965877991978,0.9999999907811891,14,True,0.04507937160477097,False
random_points,11002,30,30,0.24057825252614323,0.9828957850714284,0.31889837991680775,0.9999999909001149,19,True,0.015095320272475945,False
random_points,11002,30,30,0.17954400587574165,0.9972946709760823,0.43175534899421947,0.9999999656379732,26,True,0.0032253927653607393,False
random_points,11002,30,30,0.13399403191028383,0.9997733256218098,0.5419013483652462,0.9999999594514742,36,True,0.0003700190782196079,False
random_points,11002,30,30,0.1,0.9999918368740991,0.6394944866258906,0.9999998961721472,49,True,1.825894447301672e-05,False
random_points,11003,30,30,2.5,0.05220652184492022,nan,nan,5,True,,False
random_points,11003,30,30,1.8657547387437996,0.09117212441525442,nan,nan,5,True,,False
random_points,11003,30,30,1.3924162980579777,0.15595582008283806,nan,nan,6,True,,False
random_points,11003,30,30,1.0391629225623082,0.25771565873217644,nan,nan,7,True,,False
random_points,11003,30,30,0.7755292588389932,0.4032535779691862,0.05673863728994562,0.9997651945306023,8,True,0.3165196150273507,False
random_points,11003,30,30,0.5787789558853272,0.5830070752132256,0.09899563443762234,0.9999668772272764,9,True,0.2333033827956339,False
random_points,11003,30,30,0.4319438318512952,0.7623966444865526,0.16336726130020635,0.9999999075164595,12,True,0.1497379095873581,False
random_points,11003,30,30,0.32236050045908365,0.8971895490182059,0.2514260341841922,0.9999999927158669,15,True,0.0785800517660471,False
random_points,11003,30,30,0.24057825252614323,0.9686829463569396,0.359960799156182,0.9999999998130693,20,True,0.03114029994143169,False
random_points,11003,30,30,0.17954400587574165,0.9938672116588201,0.47670522850592023,0.9999999978123864,25,True,0.00830345337342356,False
random_points,11003,30,30,0.13399403191028383,0.9993199042213484,0.5875963738674524,0.9999999999582087,36,True,0.001279495860157867,False
random_points,11003,30,30,0.1,0.9999644074846674,0.6833542162147772,0.9999999999999176,52,True,9.348365763417125e-05,False
random_points,11004,30,30,2.5,0.047939647995367346,nan,nan,5,True,,False
random_points,11004,30,30,1.8657547387437996,0.08391054151976013,nan,nan,5,True,,False
random_points,11004,30,30,1.3924162980579777,0.14409008093170167,nan,nan,6,True,,False
random_points,11004,30,30,1.0391629225623082,0.23962114127959247,nan,nan,6,True,,False
random_points,11004,30,30,0.7755292588389932,0.3786101542218104,nan,nan,7,True,,False
random_points,11004,30,30,0.5787789558853272,0.5548170104625348,0.06666442801388478,0.9999996700093616,9,True,0.21754014204223798,False
random_points,11004,30,30,0.4319438318512952,0.7372410339069259,0.10896501539227577,0.9999999981854758,11,True,0.13751815143471058,False
random_points,11004,30,30,0.32236050045908365,0.8809292432141672,0.16976207585194897,0.9999999989981907,13,True,0.07149036745609413,False
random_points,11004,30,30,0.24057825252614323,0.961558310940148,0.24980809968313272,0.9999999997890481,17,True,0.0282612188362124,False
random_points,11004,30,30,0.17954400587574165,0.9918971026792948,0.3455476411998668,0.9999999998426472,22,True,0.007656422626344964,False
