d,sphere,on_sphere_found,on_sphere_dist,general_l2_found,general_l2_dist,radial_found,radial_dist
128,outer,True,0.05435294548491573,True,0.04522247314453126,False,inf
128,outer,True,0.05857366660171816,True,0.04930114746093751,False,inf
128,outer,True,0.0021188107288686695,True,0.0017715454101562556,False,inf
128,outer,True,0.018383647823125834,True,0.01525726318359376,False,inf
128,outer,True,0.01670110097430088,True,0.013938903808593753,False,inf
128,outer,True,0.02405439306581694,True,0.01958312988281251,False,inf
128,outer,True,0.00024927187737534064,True,0.00017852783203125354,False,inf
128,outer,True,0.023992077756492893,True,0.01992645263671874,False,inf
128,outer,True,0.015885238697828225,True,0.013705444335937504,False,inf
128,outer,True,0.009160722563949949,True,0.007511901855468766,False,inf
128,outer,True,0.019380709034537563,True,0.016438293457031246,False,inf
128,outer,True,0.00866218173704346,True,0.007278442382812509,False,inf
256,inner,True,0.010033680809124796,True,0.008692932128906245,False,inf
256,inner,True,0.0058813428565376805,True,0.0052185058593749905,False,inf
256,inner,True,0.028983629086363906,True,0.02498016357421874,False,inf
256,inner,True,0.010162578987118753,True,0.008940124511718757,False,inf
256,inner,True,0.020611335104558752,True,0.017948913574218746,False,inf
256,inner,True,0.008676551614885383,True,0.00756683349609375,False,inf
256,inner,True,0.05272056484907367,True,0.045703125,False,inf
256,inner,True,0.012365140077356718,True,0.011013793945312506,False,inf
256,inner,True,0.005966121918762152,True,0.005245971679687497,False,inf
256,inner,True,0.014743634689469418,True,0.0129364013671875,False,inf
256,inner,True,0.008346373136169778,True,0.007168579101562504,False,inf
256,inner,True,0.009203852240881653,True,0.007923889160156258,False,inf
256,inner,True,0.014838104703044894,True,0.013101196289062506,False,inf
256,inner,True,0.008868297368786108,True,0.00802001953125001,False,inf
256,inner,True,0.013278423642952607,True,0.011618041992187498,False,inf
256,inner,True,0.009539406853912672,True,0.008363342285156249,False,inf
256,inner,True,0.013230487796045378,True,0.0116180419921875,False,inf
256,inner,True,0.018886857723102272,True,0.01643829345703125,False,inf
256,inner,True,0.012511449195734882,True,0.010725402832031243,False,inf
256,inner,True,0.0002396844973604886,True,0.0002059936523437496,False,inf
256,inner,True,0.0010066748493389674,True,0.0008651733398437547,False,inf
256,inner,True,0.004601938302845179,True,0.004010009765624996,False,inf
256,inner,True,0.007585981519582867,True,0.006742858886718749,False,inf
256,inner,True,0.023072161606189738,True,0.02055816650390625,False,inf
256,inner,True,0.010737813928002235,True,0.009571838378906246,False,inf
256,inner,True,0.0011504855274769446,True,0.0009613037109374893,False,inf
256,inner,True,0.007452154177015906,True,0.006632995605468751,False,inf
256,inner,True,0.02262298918217344,True,0.019569396972656257,False,inf
256,inner,True,0.011851108802142003,True,0.01047821044921875,False,inf
256,inner,True,0.005225116114758382,True,0.004545593261718758,False,inf
256,inner,True,0.04131866771884299,True,0.0366668701171875,False,inf
256,inner,True,0.04407768347635546,True,0.03872680664062501,False,inf
256,inner,True,0.0034301169674118954,True,0.0030075073242187508,False,inf
256,inner,True,0.022636459710766377,True,0.020118713378906253,False,inf
256,inner,True,0.008296818917938875,True,0.0073196411132812585,False,inf
256,inner,True,0.02468959203905694,True,0.021533203124999994,False,inf
256,inner,True,0.002492718134891081,True,0.002183532714843752,False,inf
256,inner,True,0.007294073397856896,True,0.006262207031250001,False,inf
256,inner,True,0.019902447153986553,True,0.0171112060546875,False,inf
256,inner,True,0.016761179961884805,True,0.014378356933593746,False,inf
256,outer,True,0.05998064441271252,True,0.05620880126953127,False,inf
256,outer,True,0.035707073988302036,True,0.032464599609375006,False,inf
256,outer,True,0.010390595025963392,True,0.009571838378906248,False,inf
256,outer,True,0.022621076857224184,True,0.02081909179687501,False,inf
256,outer,True,0.0035521231570194026,True,0.0032409667968749957,False,inf
