instance_id,n,redundancy_mult,curvature,curvature_bound,min_ratio,mean_ratio
n18_mult1.2000_s1200,18,1.2,0.924035165988905,0.6526654303834248,0.9717553125204981,0.9857409135213553
n18_mult1.2000_s1201,18,1.2,0.9294625281674868,0.6511657573944116,0.9735489913186334,0.9819429418236858
n18_mult1.2000_s1202,18,1.2,0.9584023473961735,0.6432526975307722,0.9450429564250451,0.9752791771967292
n18_mult1.2000_s1203,18,1.2,0.9495225114771801,0.6456658590401897,0.9719855252999856,0.9791809708427822
n18_mult1.2000_s1204,18,1.2,0.9157100319291008,0.6549755180719412,1.0,1.0
n18_mult2.0000_s1205,18,2.0,0.9790144271552477,0.6377013505260648,1.0,1.0
n18_mult2.0000_s1206,18,2.0,0.9692417758243379,0.6403246728082674,0.9999999999999998,0.9999999999999999
n18_mult2.0000_s1207,18,2.0,0.9798898734251619,0.6374671114453024,0.984244610288651,0.9926589854094631
n18_mult2.0000_s1208,18,2.0,0.9475034784886422,0.646216374877447,1.0,1.0000000000000002
n18_mult2.0000_s1209,18,2.0,0.9660442024998358,0.6411864122111987,0.9473144636591092,0.9659739328478679
n18_mult2.0000_s1210,18,2.0,0.9574837488612908,0.6435017272439758,0.9803828576984025,0.9934609525661341
n18_mult3.5000_s1211,18,3.5,0.9858185297567209,0.6358840904230956,0.9971376969107655,0.9973856837282987
n18_mult3.5000_s1212,18,3.5,0.9720560643049768,0.6395676166326417,0.983860598932205,0.9878998797960897
n18_mult3.5000_s1213,18,3.5,0.9679313371453515,0.6406776301391651,0.9799418448429185,0.9874513596464972
n18_mult3.5000_s1214,18,3.5,0.9897827492405126,0.6348287797219269,0.9746237925137932,0.9822847476256493
n18_mult3.5000_s1215,18,3.5,0.9853592072567225,0.636006530855709,0.9858681937875242,0.9916864257188526
n18_mult3.5000_s1216,18,3.5,0.979910062382197,0.6374617110532841,0.9991274145302975,0.9997091381767659
n18_mult6.0000_s1217,18,6.0,0.9845321266659013,0.63622708996615,0.9932028530393537,0.9940783491135677
