c,n,p,lam,lam_over_threshold,trials,mean_eig,std_eig,ci95_eig,theory_eig,rel_err_eig,mean_align,std_align,ci95_align,theory_align,abs_err_align
0.5,300,150,1.0606601717798214,1.5,50,3.0367967514511514,0.10271780553682608,0.02919207733698784,3.0320646925708528,0.0015606721360177632,0.36018987359491755,0.12774511271398722,0.03630475933826275,0.37756819943497744,0.017378325840059883
0.5,300,150,1.4142135623730951,2.0,50,3.247880051383875,0.16582490828919,0.047126917498655586,3.2677669529663684,0.006085777189355858,0.5409485934936927,0.08262225880345418,0.023480986145896065,0.554097093777194,0.01314850028350123
0.5,300,150,2.121320343559643,3.0,50,3.8429101600968028,0.2628522401789519,0.07470178011886647,3.857022603955159,0.003658895813544022,0.7237768040012673,0.04400705501929864,0.01250666665611225,0.7193390490395145,0.0044377549617528045
0.7,214,150,0.0,0.0,50,3.272516765901599,0.06944940064953481,0.01973730128066089,3.3733200530681513,0.029882515023994895,0.005865659328556543,0.009455957344919209,0.0026873533431277896,0.0,0.005865659328556543
0.7,214,150,0.2091650066335189,0.25,50,3.289315866748707,0.09132494240368232,0.025954261459455154,3.3733200530681513,0.024902524811732524,0.01070585062656656,0.014390314042789155,0.004089682000556722,0.0,0.01070585062656656
0.7,214,150,0.4183300132670378,0.5,50,3.3036876345881523,0.09156205881999807,0.02602164919935851,3.3733200530681513,0.02064210255314076,0.03418358905348198,0.037715702253905185,0.010718683983373065,0.0,0.03418358905348198
0.7,214,150,0.6274950199005567,0.75,50,3.3116357580784785,0.10547092311760232,0.029974504696254463,3.3733200530681513,0.01828593018725536,0.06248827965755842,0.06986541143500316,0.019855530237743307,0.0,0.06248827965755842
0.7,214,150,0.8366600265340756,1.0,50,3.356170209773995,0.09967271768593657,0.028326672945056794,3.3733200530681513,0.005083965655306785,0.11551664337708971,0.09787045983225576,0.02781447693024822,0.0,0.11551664337708971
0.7,214,150,1.0458250331675945,1.25,50,3.423637415485207,0.11448908927008525,0.032537439159128136,3.4151530543948554,0.0024843282146413005,0.2207012727046801,0.13032894094527753,0.03703907519673655,0.21565563833004753,0.005045634374632568
0.7,214,150,1.2549900398011133,1.5,50,3.534326355453237,0.16935358460640157,0.04812975621206937,3.5127633908238303,0.006138462011342536,0.35015683650860985,0.14037189158894423,0.03989325018956544,0.35663439433651856,0.006477557827908709
0.7,214,150,1.6733200530681511,2.0,50,3.831755272207806,0.22699046738506914,0.06450997705834269,3.791650066335189,0.010577243461546646,0.5399565504049507,0.08827239186115114,0.025086736194026012,0.5287908970299656,0.011165653374985096
0.7,214,150,2.5099800796022267,3.0,50,4.455289251836972,0.2947426053682045,0.08376492162626255,4.488866755113585,0.00748017375172967,0.6906506935639796,0.04748237174783557,0.01349434074221415,0.6950489874589316,0.0043982938949520545
