topology,n,tau,mean_rho_mean,mean_rho_sem,susceptibility_mean,susceptibility_sem,realization
rr,1000,0.041666666666666664,0.0015952777777777781,0.00010768192090845602,1.8785278048797762,0.9839220032767136,2
rr,1000,0.055864551678057574,0.0020763888888888893,0.00027658061468539895,2.689140874664794,1.333601709110821,2
rr,1000,0.07490035522056879,0.0035315277777777784,0.0012398099543856822,22.533401095727054,19.757974077110287,2
rr,1000,0.09999999999999999,0.002831944444444445,0.0006311331381458619,7.876291030638337,6.733872471600272,2
rr,1000,0.10042259435818404,0.002984027777777778,0.0005363121564598985,8.72859296514415,6.406839936994983,2
rr,1000,0.12142857144729531,0.00429138888888889,0.0006992054757545186,7.7386932938202575,3.0307640767527473,2
rr,1000,0.13464151709201727,0.003631111111111111,0.0004367703792584049,4.3370978029227985,1.926924667952689,2
rr,1000,0.14285714289459062,0.0036908333333333337,0.00037101479815861106,3.1725773756999587,0.6303875741755701,2
rr,1000,0.16428571434188594,0.005573472222222223,0.0005016221307802093,7.67294382780971,2.7162199168590755,2
rr,1000,0.18052051175037775,0.008040694444444446,0.0011213502611490368,4.258903799879713,0.6669191143351154,2
rr,1000,0.18571428578918125,0.009556666666666668,0.0013481038924868785,6.548284476237734,1.0314987425618716,2
rr,1000,0.20714285723647657,0.029768888888888893,0.006544580058174863,12.198070144111025,2.7828817578886063,2
rr,1000,0.2285714286837719,0.13546986111111112,0.007678652514807423,5.59187975984806,0.9480622080127392,2
rr,1000,0.2420327389830811,0.19122194444444443,0.0032052354091045743,4.209049772047736,0.7088937074589797,2
rr,1000,0.2500000001310672,0.2198988888888889,0.0029610077721527513,2.798794457511655,0.1435837457956403,2
rr,1000,0.3245052109128518,0.40801638888888886,0.0003440387769440415,1.4575669929650579,0.12195821646291456,2
rr,1000,0.4350801149961596,0.5547016666666666,0.0005283265665337543,0.7299068521347135,0.009209094665441321,2
rr,1000,0.5833333336391568,0.6579743055555556,0.0007467080144181896,0.4664180298916611,0.010938572342340008,2
er,300,0.03491623049186969,0.00454212962962963,0.00020862376874686503,0.48543688784328637,0.14883988168223442,0
er,300,0.04687938077191316,0.0061722222222222204,0.00045999853382402853,1.3161823442322806,0.24947976951315615,0
er,300,0.06294139747043295,0.006729166666666666,0.0004740447612224324,1.6445005698378403,0.7653473898559593,0
er,300,0.08379895318048726,0.006321296296296296,0.0004912415916084644,1.101939258523092,0.46590880490097797,0
er,300,0.08450665197148999,0.007737962962962963,0.0002207584248032853,2.300912727008812,1.1201709740675467,0
er,300,0.10213468881514647,0.008627314814814813,0.000200370277663656,1.519045152495869,0.08513150675106518,0
er,300,0.11346068747179042,0.011750925925925925,0.001332683419279293,2.06301983630981,0.41673079446472805,0
er,300,0.12047042444980569,0.012707870370370368,0.0005093767400967808,2.2635249906690675,0.29144556801838173,0
er,300,0.1388061600844649,0.01543287037037037,0.0013629573803478668,2.8957043009165413,0.36515310116840066,0
er,300,0.1523350801533869,0.025009259259259255,0.0033615281345211077,4.424847382696831,0.6911007824903287,0
er,300,0.1571418957191241,0.03054583333333333,0.000833954286825641,5.373721983324195,0.5150241714028335,0
