d,n,bound,trials,lambda2_abs_mean,lambda2_abs_std,lambda2_abs_min,lambda2_abs_max,gap_mean,gap_min,gap_max,frac_connected,frac_bipartite_like,frac_exceeds_bound,within_eps_0.05,within_eps_0.1,within_eps_0.25,within_eps_0.5,close_eps_0.05,close_eps_0.1,close_eps_0.25,close_eps_0.5
4,1024,3.4641016151377544,20,3.455801783306044,0.008627971000097887,3.4417555229997565,3.4724009523812827,-0.00829983183171099,-0.022346092137997875,0.00829933724352827,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2048,3.4641016151377544,20,3.4605852748926873,0.0053875547413905125,3.453873308895895,3.4706106195392104,-0.0035163402450668403,-0.010228306241859553,0.0065090044014559645,1.0,0.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4096,3.4641016151377544,10,3.460641616105869,0.0032511135063134785,3.455416552208359,3.4665758113926066,-0.003459999031885719,-0.008685062929395304,0.0024741962548522345,1.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8192,3.4641016151377544,10,3.462391236876763,0.0021676162460515665,3.4598571774058353,3.466935677663843,-0.0017103782609916517,-0.004244437731919071,0.002834062526088754,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,64,4.47213595499958,40,4.273739598425249,0.12517358100995143,4.049136877926292,4.641372597470485,-0.1983963565743307,-0.4229990770732872,0.16923664247090553,1.0,0.0,0.075,0.95,0.975,1.0,1.0,0.05,0.15,0.625,1.0
6,128,4.47213595499958,40,4.38494029535389,0.06758633621746503,4.251128877103061,4.529401500485643,-0.08719565964568934,-0.22100707789651874,0.05726554548606355,1.0,0.0,0.1,0.975,1.0,1.0,1.0,0.275,0.575,1.0,1.0
6,256,4.47213595499958,40,4.415960082018809,0.035269756729511825,4.354142747259373,4.488227072382208,-0.05617587298077105,-0.11799320774020661,0.01609111738262836,1.0,0.0,0.1,1.0,1.0,1.0,1.0,0.425,0.875,1.0,1.0
6,512,4.47213595499958,40,4.440175996512066,0.024898679738877286,4.38703284032782,4.5250394723721685,-0.031959958487514185,-0.08510311467175935,0.052903517372588915,1.0,0.0,0.1,0.975,1.0,1.0,1.0,0.825,1.0,1.0,1.0
6,1024,4.47213595499958,20,4.45209238493422,0.01381899777333656,4.426869281338753,4.483188802927089,-0.02004357006535993,-0.045266673660826484,0.011052847927509823,1.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,2048,4.47213595499958,20,4.458203089792173,0.007558009874005569,4.438878205943948,4.473603902507945,-0.01393286520740684,-0.033257749055631614,0.0014679475083649862,1.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4096,4.47213595499958,10,4.46678508984661,0.00446802719217971,4.458493035537999,4.473923395356333,-0.005350865152969853,-0.013642919461580583,0.001787440356753045,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8192,4.47213595499958,10,4.468349035956685,0.005323611047465151,4.460207424639507,4.477467118183856,-0.003786919042894876,-0.011928530360072465,0.005331163184276733,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,64,6.0,40,5.512399048127206,0.15989940311027895,5.210251967424364,5.847147971416372,-0.4876009518727935,-0.7897480325756359,-0.15285202858362812,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.025,0.6
10,128,6.0,40,5.736459637407303,0.10954179304155534,5.526263698742706,6.033290544606783,-0.26354036259269653,-0.4737363012572944,0.033290544606782824,1.0,0.0,0.025,1.0,1.0,1.0,1.0,0.05,0.075,0.375,1.0
10,256,6.0,40,5.8638482872534965,0.06865399961573337,5.734381917919715,6.032837634926463,-0.13615171274650323,-0.2656180820802847,0.03283763492646319,1.0,0.0,0.025,1.0,1.0,1.0,1.0,0.125,0.25,0.975,1.0
10,512,6.0,40,5.9336265628907245,0.039508390038583835,5.867664843189505,6.05368350862785,-0.06637343710927557,-0.13233515681049468,0.05368350862785043,1.0,0.0,0.05,0.975,1.0,1.0,1.0,0.225,0.875,1.0,1.0
10,1024,6.0,20,5.959214914231614,0.02880939991530399,5.924790602881735,6.02842803915043,-0.040785085768386506,-0.07520939711826458,0.02842803915043035,1.0,0.0,0.1,1.0,1.0,1.0,1.0,0.45,1.0,1.0,1.0
10,2048,6.0,20,5.972670642005534,0.010850685937890332,5.955888628017399,6.0027344906424025,-0.027329357994466275,-0.04411137198260118,0.0027344906424024984,1.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4096,6.0,10,5.9862702530550544,0.00972433935045955,5.967458176880499,5.998242256587428,-0.01372974694494582,-0.03254182311950071,-0.0017577434125719549,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8192,6.0,10,5.992542163249179,0.006718891019140611,5.981441220296533,6.002912012731504,-0.007457836750821211,-0.018558779703466755,0.002912012731504099,1.0,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
