d,n,trial,lambda1,lambda2,lambda_min,lambda2_abs,bipartite_like,connected,bound,gap
3,256,17,2.9999999999999987,2.7748629500130253,-2.801181629273486,2.801181629273486,False,True,2.8284271247461903,-0.027245495472704384
3,256,18,3.000000000000001,2.8032917200203165,-2.8193100586903688,2.8193100586903688,False,True,2.8284271247461903,-0.009117066055821521
3,256,19,3.0000000000000013,2.803005841688104,-2.797160544258305,2.803005841688104,False,True,2.8284271247461903,-0.02542128305808644
3,256,20,3.0000000000000004,2.8014302593889764,-2.7969059934308897,2.8014302593889764,False,True,2.8284271247461903,-0.026996865357213906
3,256,21,3.000000000000001,2.798738262894588,-2.8093763811470454,2.8093763811470454,False,True,2.8284271247461903,-0.019050743599144937
3,256,22,3.000000000000001,2.8297600266333434,-2.8111874201060223,2.8297600266333434,False,True,2.8284271247461903,0.0013329018871530707
3,256,23,2.9999999999999996,2.8166300957420742,-2.81480474508468,2.8166300957420742,False,True,2.8284271247461903,-0.011797029004116055
3,256,24,3.0000000000000013,2.7802499010610733,-2.808390190964559,2.808390190964559,False,True,2.8284271247461903,-0.020036933781631294
3,256,25,2.999999999999995,2.8071989089428726,-2.8406504994517494,2.8406504994517494,False,True,2.8284271247461903,0.01222337470555912
3,256,26,3.0000000000000018,2.804915081735014,-2.8122506194030636,2.8122506194030636,False,True,2.8284271247461903,-0.016176505343126646
3,256,27,3.0000000000000004,2.7753613565346575,-2.8090840275020468,2.8090840275020468,False,True,2.8284271247461903,-0.019343097244143515
3,256,28,3.0000000000000027,2.8171329984888502,-2.828067727931446,2.828067727931446,False,True,2.8284271247461903,-0.00035939681474417284
3,256,29,2.999999999999999,2.8166369637675817,-2.8291473506780203,2.8291473506780203,False,True,2.8284271247461903,0.0007202259318299653
3,256,30,3.0000000000000027,2.7999165196249076,-2.7902706700776685,2.7999165196249076,False,True,2.8284271247461903,-0.028510605121282673
3,256,31,3.000000000000001,2.838356110462747,-2.798442075361701,2.838356110462747,False,True,2.8284271247461903,0.00992898571655676
3,256,32,2.9999999999999996,2.7954154751477724,-2.8204564303381607,2.8204564303381607,False,True,2.8284271247461903,-0.007970694408029555
3,256,33,2.9999999999999996,2.791811873873022,-2.8138882585200338,2.8138882585200338,False,True,2.8284271247461903,-0.014538866226156522
3,256,34,3.0000000000000027,2.812830382140327,-2.7819693040142854,2.812830382140327,False,True,2.8284271247461903,-0.015596742605863412
3,256,35,3.0000000000000004,2.809501382004805,-2.818698365584493,2.818698365584493,False,True,2.8284271247461903,-0.009728759161697464
3,256,36,3.000000000000001,2.7915764631001263,-2.800798355906446,2.800798355906446,False,True,2.8284271247461903,-0.0276287688397443
3,256,37,2.999999999999999,2.795388822289304,-2.8232097698660468,2.8232097698660468,False,True,2.8284271247461903,-0.005217354880143521
3,256,38,2.9999999999999982,2.8070255723470203,-2.839314333862237,2.839314333862237,False,True,2.8284271247461903,0.01088720911604657
3,256,39,3.000000000000001,2.8238109335793484,-2.7925795286814767,2.8238109335793484,False,True,2.8284271247461903,-0.004616191166841865
3,512,0,3.0000000000000107,2.8256231648773054,-2.8138500622237372,2.8256231648773054,False,True,2.8284271247461903,-0.002803959868884931
3,512,1,3.0000000000000027,2.81354178474772,-2.815739700755746,2.815739700755746,False,True,2.8284271247461903,-0.012687423990444202
3,512,2,3.000000000000005,2.809779704376643,-2.8229395527735277,2.8229395527735277,False,True,2.8284271247461903,-0.005487571972662586
3,512,3,3.000000000000006,2.8084385114215196,-2.8489702054412094,2.8489702054412094,False,True,2.8284271247461903,0.02054308069501909
3,512,4,2.9999999999999982,2.8203184763778393,-2.8114716279322236,2.8203184763778393,False,True,2.8284271247461903,-0.008108648368351012
3,512,5,2.999999999999997,2.822799793609698,-2.8126314624824773,2.822799793609698,False,True,2.8284271247461903,-0.005627331136492497
3,512,6,3.0000000000000018,2.820291277686927,-2.8131047546490056,2.820291277686927,False,True,2.8284271247461903,-0.008135847059263401
3,512,7,3.0000000000000027,2.804862123040054,-2.800682828327154,2.804862123040054,False,True,2.8284271247461903,-0.02356500170613618
3,512,8,3.0000000000000067,2.812815064146287,-2.807673719062276,2.812815064146287,False,True,2.8284271247461903,-0.015612060599903277
3,512,9,3.0000000000000098,2.8086569183400902,-2.82001599069549,2.82001599069549,False,True,2.8284271247461903,-0.008411134050700486
3,512,10,3.0000000000000098,2.826710855647425,-2.825642360576207,2.826710855647425,False,True,2.8284271247461903,-0.0017162690987650997
3,512,11,2.9999999999999996,2.809684360368594,-2.8212136942812114,2.8212136942812114,False,True,2.8284271247461903,-0.007213430464978909
