family,n,max_influence,variance,kkl_ratio
tribes,704,0.005557874628515024,0.825895736174089,0.5008309266841102
tribes,1246,0.0038986478388093404,0.7451045418294628,0.634002940131133
tribes,1416,0.00392308657103237,0.9999998501724696,0.5306936137695233
tribes,1602,0.0027636068839506775,0.8300885897593924,0.5010047065338409
tribes,2832,0.001962302551086351,0.7503870006414891,0.6458046524522706
tribes,3195,0.0019552058903090108,0.9999992082736632,0.5366004371861296
tribes,3550,0.0013820371669941134,0.8287496789523237,0.5019704903994359
tribes,6390,0.0009767330837790076,0.7491098147890496,0.6590664699164561
tribes,7100,0.0009769786728825182,0.9999996965999262,0.5421889763445047
tribes,7810,0.0006907395251334264,0.8286505238614067,0.5034521879309518
tribes,14200,0.00048822026789721714,0.7494490308258743,0.6706320653937006
tribes,15620,0.000488333437233718,0.9999998544928592,0.5475350588368806
tribes,17040,0.0003453000428704287,0.8286009566274424,0.5051720808162609
tribes,31240,0.00024407358024962928,0.7496184733193494,0.6812390167845189
tribes,34068,0.0002441873809537432,0.9999999972253449,0.5525308242818383
tribes,36907,0.00017265367300643922,0.8284331943936033,0.5069854484409897
tribes,68136,0.00012208725919240682,0.7499473236183971,0.6908366234965401
tribes,73814,0.00012208395048210743,0.9999999998926372,0.5572423819352404
tribes,79492,8.632248027139147e-05,0.8284208022041089,0.5088401430848588
tribes,147628,6.104134274845847e-05,0.7499896383452616,0.6997237493450797
tribes,158998,6.103581501368115e-05,0.999999997475678,0.5616511156609357
tribes,170340,4.3160151165326296e-05,0.8284146062705956,0.510682077913171
tribes,317996,3.0516374206879043e-05,0.7499497561071042,0.7079104530672903
tribes,340695,3.051823028866422e-05,0.9999999999163117,0.5657492584840633
tribes,363408,2.1579474069350837e-05,0.8284293857136862,0.5124883677763828
tribes,681390,1.5258975551942643e-05,0.749990851826817,0.7154075149027863
tribes,726816,1.5258963001114885e-05,0.9999999999851026,0.5695817922395364
tribes,1453632,7.629452052880334e-06,0.7499961402706152,0.722345286036822
