n,rho,alpha,p,n_trials,n_samples,mean_overlap,sem_overlap,ci_lo,ci_hi,mean_sweeps_used
100,0.3,0.1866,19,20,100,0.4232000000000001,0.011226663787518526,0.40019000000000005,0.445,4.35
100,0.3,0.19,19,20,100,0.38819999999999993,0.011741646504058222,0.36439000000000005,0.411005,4.9
100,0.3,0.2,20,20,100,0.4086000000000001,0.010818073168115802,0.38739000000000007,0.43040500000000004,4.7
100,0.3,0.2029,20,20,100,0.42739999999999995,0.010653988677836802,0.4064,0.44839999999999997,4.2
100,0.3,0.21,21,20,100,0.423,0.010075974023649152,0.40359500000000004,0.44220499999999996,4.65
100,0.3,0.22,22,20,100,0.4008,0.010842937467738756,0.37900000000000006,0.42280500000000004,4.45
100,0.3,0.23,23,20,100,0.419,0.010059921480907305,0.39880000000000004,0.439,4.5
100,0.3,0.24,24,20,100,0.405,0.010227216610395988,0.384795,0.4262,5.0
100,0.3,0.2486,25,20,100,0.4209999999999999,0.010959521481849064,0.3998,0.442,4.6
100,0.3,0.25,25,20,100,0.4050000000000001,0.010337242662266658,0.384595,0.42599999999999993,4.35
100,0.3,0.2943,29,20,100,0.40220000000000006,0.00973547091513266,0.38260000000000005,0.42140500000000003,4.05
100,0.3,0.34,34,20,100,0.38359999999999994,0.008605283789097782,0.3664,0.3996,4.3
100,0.4,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.4,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.4,0.0281,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.4,0.03,3,20,60,1.0,0.0,1.0,1.0,2.0
100,0.4,0.04,4,20,80,0.9477499999999999,0.010141366285002347,0.9247437500000001,0.96675625,2.35
100,0.4,0.0462,5,20,100,0.7617999999999999,0.018492903361762174,0.7271949999999999,0.7994050000000001,3.7
100,0.4,0.05,5,20,100,0.8264000000000001,0.01817953116929459,0.7922000000000002,0.86,3.85
100,0.4,0.06,6,20,100,0.6276,0.014212755687846895,0.600595,0.6558049999999999,4.5
100,0.4,0.0643,6,20,100,0.664,0.017569486864643165,0.632195,0.69861,4.9
100,0.4,0.0657,7,20,100,0.5512,0.013178862782593354,0.5257999999999999,0.578405,4.35
100,0.4,0.07,7,20,100,0.555,0.012627931202879056,0.53219,0.5808,4.45
100,0.4,0.08,8,20,100,0.5352000000000001,0.01294313905066497,0.5093949999999999,0.560205,4.5
100,0.4,0.0824,8,20,100,0.5501999999999999,0.013046908376386269,0.5254,0.575005,4.5
100,0.4,0.09,9,20,100,0.5058000000000001,0.012729652014255553,0.4809950000000001,0.5307999999999999,4.4
100,0.4,0.1,10,20,100,0.4758,0.012267374814869106,0.45219000000000004,0.5004,4.7
100,0.4,0.1004,10,20,100,0.4886000000000001,0.011827907420139623,0.46619,0.510605,4.75
100,0.4,0.11,11,20,100,0.48100000000000004,0.009544684913657973,0.4622,0.4994050000000001,4.6
100,0.4,0.1114,11,20,100,0.5046,0.010605335040116898,0.48300000000000004,0.5257999999999999,4.1
100,0.4,0.1185,12,20,100,0.46219999999999994,0.011465873827417717,0.43980000000000014,0.48580000000000007,4.2
100,0.4,0.12,12,20,100,0.49879999999999997,0.010752758631245201,0.47759500000000005,0.519605,4.8
100,0.4,0.13,13,20,100,0.4584,0.01072212853886953,0.4379949999999999,0.47979999999999995,4.8
100,0.4,0.1366,14,20,100,0.493,0.010345056888205209,0.4732,0.5128,4.25
100,0.4,0.14,14,20,100,0.4854,0.009989307414744159,0.4665949999999999,0.5046,4.0
100,0.4,0.15,15,20,100,0.5128,0.0092835033442895,0.4944000000000001,0.5304049999999999,3.6
100,0.4,0.1547,15,20,100,0.48460000000000003,0.009380206971505631,0.4664,0.5028,3.75
100,0.4,0.1571,16,20,100,0.47139999999999993,0.010522721927698974,0.449795,0.4936,4.2
100,0.4,0.16,16,20,100,0.47440000000000004,0.00991715175793428,0.45380000000000004,0.4946,4.2
100,0.4,0.17,17,20,100,0.47220000000000006,0.00968136813104888,0.45280000000000004,0.49160500000000007,3.8
100,0.4,0.1728,17,20,100,0.45940000000000003,0.008973383763197479,0.44220000000000004,0.4768,3.8
100,0.4,0.18,18,20,100,0.47059999999999996,0.010215674231297708,0.449395,0.4908049999999999,4.15
100,0.4,0.19,19,20,100,0.45960000000000006,0.01037082153900738,0.43940000000000007,0.48,4.3
100,0.4,0.2,20,20,100,0.47300000000000003,0.009979271445644648,0.45439499999999994,0.49180000000000007,3.8
100,0.4,0.2029,20,20,100,0.4832,0.010816074830892893,0.462995,0.50441,4.05
100,0.4,0.21,21,20,100,0.46560000000000007,0.01001041881483911,0.4462000000000001,0.4859999999999999,3.8
100,0.4,0.22,22,20,100,0.4894000000000001,0.00871295331994586,0.47219000000000005,0.506,3.85
100,0.4,0.23,23,20,100,0.46699999999999997,0.010395706184319902,0.446,0.48620999999999986,3.6
100,0.4,0.24,24,20,100,0.44839999999999997,0.010541615462805336,0.42780000000000007,0.4694,3.9
100,0.4,0.2486,25,20,100,0.45059999999999995,0.010870978880403632,0.42899500000000007,0.47120000000000006,3.8
100,0.4,0.25,25,20,100,0.44179999999999997,0.01057572979070762,0.42139499999999996,0.46220000000000006,3.65
100,0.4,0.2943,29,20,100,0.46880000000000005,0.008904975342952155,0.45139500000000016,0.48580000000000007,3.7
100,0.4,0.34,34,20,100,0.4588000000000001,0.009647609218680225,0.439795,0.4766,3.6
100,0.5,0.01,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.5,0.02,2,20,40,1.0,0.0,1.0,1.0,2.0
100,0.5,0.0266,3,20,60,0.9953333333333333,0.0033061034694424093,0.9886666666666666,1.0,2.0
100,0.5,0.03,3,20,60,0.997,0.003000000000000002,0.991,1.0,2.05
100,0.5,0.04,4,20,80,0.9032499999999999,0.010478692968548793,0.88174375,0.9225062500000001,2.2
100,0.5,0.0431,4,20,80,0.8640000000000001,0.011988391009111346,0.8382437500000001,0.8877499999999999,2.55
100,0.5,0.05,5,20,100,0.6854,0.015928768206162604,0.6559949999999999,0.7180049999999999,4.0
100,0.5,0.0597,6,20,100,0.6476,0.01175432007408512,0.622995,0.6696,4.15
