train_size,noise_level,hidden_width,seed,val_mse,lambda1_true,lambda1_surrogate,lambda1_abs_error,chaos_detected_correct,attractor_js_divergence,train_seconds
1000,0.1,8,0,0.02298179729198199,0.9005026953387504,0.08176236152475655,0.8187403338139938,True,0.2562523732781785,0.37593793869018555
1000,0.1,32,0,0.022898209597499074,0.9005026953387504,-0.07394177001372296,0.9744444653524733,False,0.49531749191913876,0.5364556312561035
1000,0.1,128,0,0.03355821436644744,0.9005026953387504,-0.9014216781511643,1.8019243734899146,False,0.610241490380618,2.4408302307128906
1000,0.1,8,1,0.025441446940585186,0.9005026953387504,0.11066911225771418,0.7898335830810362,True,0.15146900552667833,0.3694114685058594
1000,0.1,32,1,0.03040206850434321,0.9005026953387504,-2.7555249529536225,3.656027648292373,False,0.5310192153059327,0.5398647785186768
1000,0.1,128,1,0.03148925248311789,0.9005026953387504,-0.33704845015085605,1.2375511454896064,False,0.5117885065640088,2.5522994995117188
5000,0.0,8,0,0.0035912015151280054,0.9005026953387504,-1.53379555054621,2.4342982458849605,False,0.605296898468107,0.7791972160339355
5000,0.0,32,0,0.0011750856972361015,0.9005026953387504,0.3061884652139068,0.5943142301248436,True,0.06065461295626521,1.1704587936401367
5000,0.0,128,0,0.012455783845794145,0.9005026953387504,-0.3030672354270872,1.2035699307658376,False,0.5544804514978053,4.959524154663086
5000,0.0,8,1,0.002710382756688851,0.9005026953387504,0.10360702824489236,0.7968956670938581,True,0.06973593991389644,0.7661497592926025
5000,0.0,32,1,0.0012478971182415292,0.9005026953387504,0.6918099783104356,0.20869271702831482,True,0.04814541516115867,1.0241520404815674
5000,0.0,128,1,0.013456761158404064,0.9005026953387504,-0.14928549181756945,1.0497881871563197,False,0.549400619217874,5.053369045257568
5000,0.02,8,0,0.0024575006687201687,0.9005026953387504,0.08341443735548562,0.8170882579832648,True,0.05044180521811032,0.7391805648803711
5000,0.02,32,0,0.004295695144922243,0.9005026953387504,-0.010369396951550872,0.9108720922903013,False,0.10507848888444861,1.0827817916870117
5000,0.02,128,0,0.007667620360135651,0.9005026953387504,-0.018086073100101255,0.9185887684388516,False,0.045584635242718774,4.8798463344573975
5000,0.02,8,1,0.005318199219093945,0.9005026953387504,0.1829138807302481,0.7175888146085023,True,0.05589863825418795,0.7579813003540039
5000,0.02,32,1,0.006623299746829216,0.9005026953387504,0.918878213921815,0.01837551858306463,True,0.041512410654864246,1.045198678970337
5000,0.02,128,1,0.006189407438020148,0.9005026953387504,-0.18630840525353468,1.0868111005922851,False,0.55808018454496,4.875210523605347
5000,0.1,8,0,0.026451177110180708,0.9005026953387504,-0.6812545949259748,1.5817572902647252,False,0.05701258563621811,0.7362508773803711
5000,0.1,32,0,0.02374891687451018,0.9005026953387504,-0.00036978127838596246,0.9008724766171363,False,0.11418011085240713,1.0500643253326416
5000,0.1,128,0,0.03355410515652331,0.9005026953387504,-0.0025413149596813745,0.9030440102984317,False,0.061423222798622196,4.788543939590454
5000,0.1,8,1,0.026293463939734755,0.9005026953387504,-0.05726077076611198,0.9577634661048624,False,0.07486659808505529,0.7334299087524414
5000,0.1,32,1,0.023863144438060254,0.9005026953387504,0.416180359626249,0.4843223357125014,True,0.025620685905522356,1.004260540008545
5000,0.1,128,1,0.03979796216941309,0.9005026953387504,-0.08745612310219744,0.9879588184409478,False,0.22045213227694369,4.810728311538696
