n_vars,n_communities,alpha,mu,trial,n_clauses,satisfiable,hit_cap,decisions,backtracks,modularity_q,runtime_sec
80,4,5.9,0.66,11,472,0,0,145,290,0.2585074930575505,0.14762282371520996
80,4,5.9,0.66,12,472,0,0,60,120,0.24071048389670913,0.06340909004211426
80,4,5.9,0.66,13,472,0,0,115,230,0.23907761179737622,0.12258720397949219
80,4,5.9,0.66,14,472,0,0,141,282,0.23799534776086054,0.140486478805542
80,4,5.9,0.66,15,472,0,0,134,268,0.21987515560662646,0.1378929615020752
80,4,5.9,0.66,16,472,0,0,137,274,0.2792071642886782,0.14795851707458496
80,4,5.9,0.66,17,472,0,0,96,192,0.27228665932522583,0.09896016120910645
80,4,5.9,0.66,18,472,0,0,74,148,0.25110021864725973,0.08714890480041504
80,4,5.9,0.66,19,472,0,0,40,80,0.23715646844776406,0.04630303382873535
80,4,5.9,0.66,20,472,0,0,70,140,0.23481937661591498,0.0830984115600586
80,4,5.9,0.66,21,472,0,0,127,254,0.2593234303680296,0.13826894760131836
80,4,5.9,0.66,22,472,0,0,67,134,0.25687861087171626,0.08011698722839355
80,4,5.9,0.66,23,472,0,0,125,250,0.2531241022694628,0.1288154125213623
80,4,5.9,0.66,24,472,0,0,212,424,0.2595777873535702,0.22158527374267578
80,4,6.1,0.66,0,488,0,0,99,198,0.2281989981785064,0.11157584190368652
80,4,6.1,0.66,1,488,0,0,41,82,0.24534082086655318,0.04799079895019531
80,4,6.1,0.66,2,488,0,0,41,82,0.26451409418017857,0.053670644760131836
80,4,6.1,0.66,3,488,0,0,102,204,0.2708249350533011,0.11188554763793945
80,4,6.1,0.66,4,488,0,0,110,220,0.2040063528322733,0.1283273696899414
80,4,6.1,0.66,5,488,0,0,92,184,0.25113376780435365,0.10750842094421387
80,4,6.1,0.66,6,488,0,0,70,140,0.21922403625070916,0.07832050323486328
80,4,6.1,0.66,7,488,0,0,154,308,0.26691133655827287,0.17970585823059082
80,4,6.1,0.66,8,488,0,0,108,216,0.26645129744095075,0.12128520011901855
80,4,6.1,0.66,9,488,0,0,74,148,0.24019454149123595,0.08885049819946289
80,4,6.1,0.66,10,488,0,0,122,244,0.2245681417778972,0.14126038551330566
80,4,6.1,0.66,11,488,0,0,80,160,0.21073430828033085,0.09788966178894043
