env,algo,K,T,seed,regret,num_segments,segment_length
switching,EXP3,5,8000,9,1915.499999999801,256,31
switching,EXP3,5,8000,10,1908.899999999802,256,31
switching,EXP3,5,8000,11,1931.3999999997986,256,31
switching,UCB1,5,8000,0,1461.29999999987,256,31
switching,UCB1,5,8000,1,1526.39999999986,256,31
switching,UCB1,5,8000,2,1646.6999999998418,256,31
switching,UCB1,5,8000,3,1550.3999999998564,256,31
switching,UCB1,5,8000,4,1580.3999999998518,256,31
switching,UCB1,5,8000,5,1511.9999999998622,256,31
switching,UCB1,5,8000,6,1613.9999999998468,256,31
switching,UCB1,5,8000,7,1510.4999999998624,256,31
switching,UCB1,5,8000,8,1524.8999999998603,256,31
switching,UCB1,5,8000,9,1547.9999999998568,256,31
switching,UCB1,5,8000,10,1583.9999999998513,256,31
switching,UCB1,5,8000,11,1487.9999999998658,256,31
switching,EXP3,5,8000,0,1928.399999999799,512,15
switching,EXP3,5,8000,1,1911.2999999998017,512,15
switching,EXP3,5,8000,2,1904.6999999998027,512,15
switching,EXP3,5,8000,3,1925.3999999997995,512,15
switching,EXP3,5,8000,4,1905.8999999998025,512,15
switching,EXP3,5,8000,5,1924.7999999997996,512,15
switching,EXP3,5,8000,6,1914.2999999998012,512,15
switching,EXP3,5,8000,7,1908.2999999998021,512,15
switching,EXP3,5,8000,8,1908.899999999802,512,15
switching,EXP3,5,8000,9,1910.3999999998018,512,15
switching,EXP3,5,8000,10,1919.9999999998004,512,15
switching,EXP3,5,8000,11,1902.299999999803,512,15
switching,UCB1,5,8000,0,1777.199999999822,512,15
switching,UCB1,5,8000,1,1795.1999999998193,512,15
switching,UCB1,5,8000,2,1782.8999999998211,512,15
switching,UCB1,5,8000,3,1683.2999999998362,512,15
switching,UCB1,5,8000,4,1795.7999999998192,512,15
switching,UCB1,5,8000,5,1803.599999999818,512,15
switching,UCB1,5,8000,6,1730.399999999829,512,15
switching,UCB1,5,8000,7,1798.1999999998188,512,15
switching,UCB1,5,8000,8,1793.9999999998195,512,15
switching,UCB1,5,8000,9,1760.6999999998245,512,15
switching,UCB1,5,8000,10,1766.6999999998236,512,15
switching,UCB1,5,8000,11,1724.69999999983,512,15
switching,EXP3,5,8000,0,1917.8999999998007,1000,8
switching,EXP3,5,8000,1,1913.6999999998013,1000,8
switching,EXP3,5,8000,2,1929.8999999997989,1000,8
switching,EXP3,5,8000,3,1930.1999999997988,1000,8
switching,EXP3,5,8000,4,1905.2999999998026,1000,8
switching,EXP3,5,8000,5,1912.7999999998015,1000,8
switching,EXP3,5,8000,6,1912.1999999998015,1000,8
switching,EXP3,5,8000,7,1909.799999999802,1000,8
switching,EXP3,5,8000,8,1920.2999999998003,1000,8
switching,EXP3,5,8000,9,1922.6999999998,1000,8
switching,EXP3,5,8000,10,1917.8999999998007,1000,8
switching,EXP3,5,8000,11,1910.3999999998018,1000,8
switching,UCB1,5,8000,0,1880.3999999998064,1000,8
switching,UCB1,5,8000,1,1889.699999999805,1000,8
switching,UCB1,5,8000,2,1880.3999999998064,1000,8
switching,UCB1,5,8000,3,1868.0999999998082,1000,8
switching,UCB1,5,8000,4,1906.7999999998024,1000,8
switching,UCB1,5,8000,5,1875.2999999998071,1000,8
switching,UCB1,5,8000,6,1883.399999999806,1000,8
switching,UCB1,5,8000,7,1876.199999999807,1000,8
switching,UCB1,5,8000,8,1871.0999999998078,1000,8
switching,UCB1,5,8000,9,1893.8999999998043,1000,8
switching,UCB1,5,8000,10,1907.9999999998022,1000,8
switching,UCB1,5,8000,11,1901.999999999803,1000,8
switching,EXP3,5,8000,0,1923.8999999997998,1600,5
switching,EXP3,5,8000,1,1914.8999999998011,1600,5
switching,EXP3,5,8000,2,1930.1999999997988,1600,5
switching,EXP3,5,8000,3,1922.3999999998,1600,5
switching,EXP3,5,8000,4,1922.6999999998,1600,5
switching,EXP3,5,8000,5,1924.4999999997997,1600,5
switching,EXP3,5,8000,6,1917.8999999998007,1600,5
switching,EXP3,5,8000,7,1911.5999999998016,1600,5
switching,EXP3,5,8000,8,1936.4999999997979,1600,5
switching,EXP3,5,8000,9,1937.6999999997977,1600,5
switching,EXP3,5,8000,10,1912.7999999998015,1600,5
switching,EXP3,5,8000,11,1923.2999999997999,1600,5
switching,UCB1,5,8000,0,1920.2999999998003,1600,5
switching,UCB1,5,8000,1,1928.699999999799,1600,5
switching,UCB1,5,8000,2,1937.3999999997977,1600,5
switching,UCB1,5,8000,3,1899.5999999998035,1600,5
switching,UCB1,5,8000,4,1900.1999999998034,1600,5
switching,UCB1,5,8000,5,1904.6999999998027,1600,5
switching,UCB1,5,8000,6,1933.7999999997983,1600,5
switching,UCB1,5,8000,7,1899.2999999998035,1600,5
switching,UCB1,5,8000,8,1917.5999999998007,1600,5
switching,UCB1,5,8000,9,1908.899999999802,1600,5
switching,UCB1,5,8000,10,1927.4999999997992,1600,5
switching,UCB1,5,8000,11,1902.299999999803,1600,5
