degree,n_edges,poa,theoretical_bound
1,4,1.0130616702589952,1.3333333333333333
1,11,1.0008561675845473,1.3333333333333333
1,4,1.0739943581166502,1.3333333333333333
1,11,1.0159061028100893,1.3333333333333333
1,7,1.0781550008833716,1.3333333333333333
1,12,1.0412187271617792,1.3333333333333333
1,3,1.0,1.3333333333333333
1,4,1.0001391690944978,1.3333333333333333
1,7,1.0014519831724422,1.3333333333333333
1,15,1.000000000000003,1.3333333333333333
1,11,1.0403959828416225,1.3333333333333333
1,1,1.0,1.3333333333333333
1,3,1.002667747314126,1.3333333333333333
1,4,0.9999999999999998,1.3333333333333333
1,6,1.006143620917004,1.3333333333333333
1,2,1.0218853919785542,1.3333333333333333
1,5,1.0390288016534002,1.3333333333333333
1,4,1.0152683736593946,1.3333333333333333
1,11,1.0161321189048074,1.3333333333333333
1,5,1.0,1.3333333333333333
