degree,b,poa,theoretical_bound
2,1.5835979899497485,1.2246461797146435,1.6257523845831854
2,1.608718592964824,1.2145361899550502,1.6257523845831854
2,1.6338391959798995,1.2048002029813025,1.6257523845831854
2,1.6589597989949747,1.1954226955838791,1.6257523845831854
2,1.6840804020100502,1.1863890790130671,1.6257523845831854
2,1.7092010050251254,1.1776856315626405,1.6257523845831854
2,1.7343216080402009,1.169299436980907,1.6257523845831854
2,1.7594422110552763,1.1612183281310917,1.6257523845831854
2,1.7845628140703516,1.153430835387725,1.6257523845831854
2,1.809683417085427,1.1459261393123936,1.6257523845831854
2,1.8348040201005025,1.138694027202046,1.6257523845831854
2,1.8599246231155777,1.1317248531467505,1.6257523845831854
2,1.8850452261306532,1.1250095012723351,1.6257523845831854
2,1.9101658291457286,1.118539351877324,1.6257523845831854
2,1.9352864321608039,1.112306250203616,1.6257523845831854
2,1.9604070351758793,1.1063024776069807,1.6257523845831854
2,1.9855276381909546,1.100520724916936,1.6257523845831854
2,2.01064824120603,1.0949540677965874,1.6257523845831854
2,2.0357688442211055,1.0895959439316327,1.6257523845831854
2,2.060889447236181,1.0844401318942751,1.6257523845831854
2,2.086010050251256,1.079480731542645,1.6257523845831854
2,2.1111306532663314,1.074712145829525,1.6257523845831854
2,2.136251256281407,1.0701290639060579,1.6257523845831854
2,2.1613718592964823,1.065726445416652,1.6257523845831854
2,2.186492462311558,1.0614995058908923,1.6257523845831854
2,2.2116130653266333,1.0574437031467605,1.6257523845831854
2,2.2367336683417083,1.05355472462719,1.6257523845831854
2,2.2618542713567837,1.0498284755989007,1.6257523845831854
2,2.286974874371859,1.046261068148709,1.6257523845831854
2,2.3120954773869347,1.0428488109181542,1.6257523845831854
2,2.33721608040201,1.0395881995224006,1.6257523845831854
2,2.362336683417085,1.0364759076039487,1.6257523845831854
2,2.3874572864321606,1.0335087784759485,1.6257523845831854
2,2.412577889447236,1.030683817313627,1.6257523845831854
2,2.4376984924623115,1.0279981838558723,1.6257523845831854
2,2.462819095477387,1.0254491855820795,1.6257523845831854
2,2.487939698492462,1.0230342713322855,1.6257523845831854
2,2.5130603015075375,1.0207510253412087,1.6257523845831854
