cost_type,depth,n,num_samples,mean_gradient,variance,variance_stderr
local,1,12,250,-0.0006021711932176617,2.4228723624445316e-05,2.1714301331266077e-06
local,1,14,250,-0.0006355319275986855,1.4880299602208734e-05,1.3336043386778962e-06
local,2,2,250,-0.0044107274457113365,0.013000075680772556,0.0011650946415383938
local,2,4,250,-0.004350655642306912,0.0014879223143470812,0.00013335078641389637
local,2,6,250,-0.0007946124009111535,0.0003567621262312193,3.1973786290383816e-05
local,2,8,250,-0.001093519389952062,0.00011308356821710752,1.013479172053279e-05
local,2,10,250,0.00010559933755014295,3.43284122940229e-05,3.0765858752223788e-06
local,2,12,250,7.729965712420373e-05,1.4120703874518828e-05,1.2655277417565486e-06
local,2,14,250,0.00015262442998487647,4.175409681981087e-06,3.742091635588536e-07
local,4,2,250,-0.0033393331793197785,0.012237642095506297,0.001096763709739554
local,4,4,250,-8.621830380109063e-05,0.0021687299048077846,0.00019436622163460063
local,4,6,250,-0.0005378760037718863,0.00031852864619041747,2.8547219875175368e-05
local,4,8,250,0.000505406561552934,0.00010666315009703263,9.559380089722135e-06
local,4,10,250,-9.704338282989266e-05,3.03328197188262e-05,2.7184923061197397e-06
local,4,12,250,-0.00012643118241910712,1.1013413025608143e-05,9.870456769850626e-07
local,4,14,250,6.251956575874052e-05,3.712735022944007e-06,3.327432691089476e-07
local,8,2,250,0.008980242320287279,0.015650469887502797,0.0014026286501128958
local,8,4,250,0.0014085593490704021,0.001850491016331088,0.00016584497046667673
local,8,6,250,0.0002738467572197918,0.00030390946723506845,2.723701772844788e-05
local,8,8,250,-0.0009425917655152242,9.261443547574375e-05,8.30030417911228e-06
local,8,10,250,0.0005178560759477759,3.095433765441627e-05,2.774194075413821e-06
local,8,12,250,7.946950126230833e-05,1.0377450505479688e-05,9.300493530700556e-07
local,8,14,250,-2.519467761415295e-05,3.827186997803717e-06,3.4300070036527167e-07
local,16,2,250,-0.003253402020148682,0.015026790904664687,0.001346733203133343
local,16,4,250,-0.0001299869077037581,0.0020545649036634883,0.0001841345095776336
local,16,6,250,-0.00030635894370380256,0.0002752464387952685,2.4668175695099892e-05
local,16,8,250,0.00010206816486719494,5.89035613149685e-05,5.2790633947693795e-06
local,16,10,250,0.0004285090762519356,1.3215879158912713e-05,1.1844354117139334e-06
local,16,12,250,-7.496091999287657e-05,2.702342084183005e-06,2.421896886755823e-07
local,16,14,250,-5.173674624581781e-05,8.892480820542103e-07,7.969631876312927e-08
