L,T,m_mean,m_std,chi_mean,chi_std,c_mean,c_std,u4_mean,u4_std,e_mean,e_std
16,2.153846,0.8342236328125,0.005022169460358943,1.552626015512633,0.28520386592543384,1.1374330213223371,0.07728662074445303,0.6497155995246056,0.002271636204442276,-1.606681640625,0.0033739209746109647
16,2.180769,0.8202099609375,0.00575247164139437,1.6243072608324918,0.34788281593489434,1.180344319337126,0.08426546521707862,0.6474964541254499,0.003070082998981403,-1.5805859375,0.0030406185765605733
16,2.207692,0.7879990234375001,0.013482142010474946,2.589170015864563,0.6745604092835973,1.3261732537151585,0.11983510461100876,0.637039214885192,0.006860432609245945,-1.542310546875,0.008629622174564323
16,2.234615,0.7571406250000001,0.014638210753035832,3.1650788147860442,0.7292719914471185,1.4429463022239937,0.11635784181351544,0.6271442170564003,0.007859531259521553,-1.5036933593750001,0.008766267967102328
16,2.261538,0.71982421875,0.008864888623393734,4.1457858036281605,0.46593436306315145,1.55688501871534,0.05688684403207155,0.6123033338109969,0.0052973992906891355,-1.4626328125,0.004735809008278338
16,2.288462,0.69436328125,0.008769649132698775,4.297481968955851,0.5179993518215337,1.5419423272623427,0.09799497518969573,0.6050758253873554,0.006455062305129091,-1.4273886718750002,0.004554996957620888
16,2.315385,0.642818359375,0.008628486481485696,5.530094940170586,0.32194063514238386,1.6043274468373605,0.06120333569792945,0.5778117268209622,0.005326772700879655,-1.381208984375,0.005134409756116205
16,2.342308,0.6107216796875,0.020332231134756826,5.524130555988341,0.6278575674049403,1.5665061456756173,0.05623710211509325,0.5620579022073926,0.015820116794740633,-1.343193359375,0.01062634609895584
16,2.369231,0.566810546875,0.02026295988960025,5.8087463006522455,0.37856292312875767,1.4651127983723256,0.03243177364086202,0.5372500942125149,0.01708896225515749,-1.301478515625,0.01076857040707168
16,2.396154,0.5268828125,0.007672977282860983,5.91070183377065,0.21104406151239008,1.4191439646946955,0.03245540978995867,0.5119574202197249,0.00855897374140839,-1.2609609375000002,0.005707524523087088
16,2.423077,0.49448046874999996,0.0163173355594074,5.775385417906909,0.2327184308608881,1.327399219843258,0.04143709835153436,0.4892866494540379,0.01927589237046911,-1.227265625,0.00925686967772949
16,2.45,0.4524853515625,0.010182829693224663,5.909490205277422,0.12702732931546942,1.2897937011922112,0.012738270558109952,0.444922155680285,0.012679749219390283,-1.191662109375,0.005722511930240805
