n,c,t,exact_tv,chi_square_bound,limiting_profile
400,1.5,1498,0.18618645217734703,0.24856822814127288,0.24999163043732667
400,1.75,1548,0.16446106741610486,0.2166287963991216,0.21782250593656163
400,2.0,1598,0.14539981078769376,0.18932418567739778,0.19034218705232506
400,2.25,1648,0.12849963565291286,0.1658189909164826,0.16669892158989089
400,2.5,1698,0.11348602138676794,0.14547424870452555,0.14624301350909108
400,2.75,1748,0.10017690195415344,0.12779010061639237,0.12846740337166176
400,3.0,1798,0.08839751244624246,0.11236759839007436,0.1129682160346622
400,3.25,1848,0.07800879420023524,0.09888270219523831,0.09941797890848432
400,3.5,1898,0.06888659083538823,0.087068210972318,0.08754705687608565
400,3.75,1948,0.060816769302013664,0.07670095170767909,0.07713052043475117
400,4.0,1998,0.05368280943705815,0.06759251670571065,0.0679786711849241
400,4.25,2048,0.047379453578987256,0.059582434259094284,0.059930070798138446
400,4.5,2098,0.04181217905308821,0.05253303512233607,0.05284631153037487
400,4.75,2148,0.03689647835877999,0.04632551970737473,0.046608017777135545
400,5.0,2198,0.032557049169358206,0.04085688930075706,0.041111732004636026
400,5.25,2248,0.02872695996972381,0.036037509417114505,0.03626744662396137
400,5.5,2298,0.025346832323833567,0.03178914358930707,0.03199661574486084
400,5.75,2348,0.022364064011410736,0.02804334339554685,0.02823052966750735
400,6.0,2398,0.019732106149478654,0.024740112991859006,0.024908968378611816
800,-4.0,1074,0.9998771678066114,1.0,1.0
800,-3.75,1174,0.9992325322824469,1.0,1.0
800,-3.5,1274,0.996827390711196,1.0,1.0
800,-3.25,1374,0.9904227413478209,1.0,1.0
800,-3.0,1474,0.977153322499116,1.0,1.0
800,-2.75,1574,0.9547509028700922,1.0,1.0
800,-2.5,1674,0.9219401997923136,1.0,1.0
800,-2.25,1774,0.8792136009864193,1.0,1.0
800,-2.0,1874,0.828374758360905,1.0,1.0
800,-1.75,1974,0.7714350431041863,1.0,1.0
800,-1.5,2074,0.711461291991677,1.0,1.0
800,-1.25,2174,0.6507093150835193,1.0,1.0
800,-1.0,2274,0.5908995006634132,1.0,1.0
800,-0.75,2374,0.5333298340306628,1.0,1.0
800,-0.5,2474,0.4789816812119111,1.0,1.0
800,-0.25,2574,0.42865960166800443,0.8006205854202019,0.8079521765268818
800,0.0,2674,0.3824866989030786,0.6506172846653125,0.6554162472160431
800,0.25,2774,0.34056771820615883,0.5395541617980546,0.542876085081142
800,0.5,2874,0.30264166566634265,0.4542221690421786,0.45663370966193667
800,0.75,2974,0.26841558583594044,0.3866955188719231,0.3885180651651409
800,1.0,3074,0.23787188400891562,0.3319923397515844,0.3334171040190373
800,1.25,3174,0.21058179650818382,0.28684943346735176,0.28799503301587925
800,1.5,3274,0.18630797561139462,0.24904885509561567,0.24999163043732667
800,1.75,3374,0.16466806289684846,0.21703178550329183,0.21782250593656163
800,2.0,3474,0.14559312705461797,0.1896687395438133,0.19034218705232506
800,2.25,3574,0.1286150875581789,0.16611825438205988,0.16669892158989089
800,2.5,3674,0.11354502912617752,0.1457374277379206,0.14624301350909108
800,2.75,3774,0.10030961672099603,0.12802378982405063,0.12846740337166176
800,3.0,3874,0.08858129070092163,0.11257663181583154,0.1129682160346622
800,3.25,3974,0.07819881946505088,0.09907070903288885,0.09941797890848432
800,3.5,4074,0.06901707646152852,0.08723798422904117,0.08754705687608565
800,3.75,4174,0.06090330919610413,0.07685469588407856,0.07713052043475117
800,4.0,4274,0.05375142077817435,0.0677320159043559,0.0679786711849241
800,4.25,4374,0.04744971303042018,0.05970916724920154,0.059930070798138446
800,4.5,4474,0.041882081075845845,0.05264825467145876,0.05284631153037487
800,4.75,4574,0.03696462045516479,0.046430307651201944,0.046608017777135545
800,5.0,4674,0.03262248241532645,0.04095219504629496,0.041111732004636026
800,5.25,4774,0.028789074354330004,0.03612417709043137,0.03626744662396137
800,5.5,4874,0.02540526903973499,0.03186793138102224,0.03199661574486084
800,5.75,4974,0.022418648549544572,0.02811493753778233,0.02823052966750735
800,6.0,5074,0.01978279741595321,0.024805138037820293,0.024908968378611816
1600,-4.0,2702,0.9998407977266676,1.0,1.0
1600,-3.75,2902,0.9990937246246168,1.0,1.0
1600,-3.5,3102,0.9964786393647179,1.0,1.0
1600,-3.25,3302,0.989771956485469,1.0,1.0
1600,-3.0,3502,0.9762332008556394,1.0,1.0
1600,-2.75,3702,0.9535914503537934,1.0,1.0
1600,-2.5,3902,0.9206809845900383,1.0,1.0
1600,-2.25,4102,0.8780649931798766,1.0,1.0
1600,-2.0,4302,0.8273402101589182,1.0,1.0
1600,-1.75,4502,0.7707233466262554,1.0,1.0
1600,-1.5,4702,0.7110511444742998,1.0,1.0
1600,-1.25,4902,0.6504229488192924,1.0,1.0
1600,-1.0,5102,0.5907157874601641,1.0,1.0
1600,-0.75,5302,0.533341724398021,1.0,1.0
1600,-0.5,5502,0.4792037530449197,1.0,1.0
1600,-0.25,5702,0.42899161478931946,0.8042314327376101,0.8079521765268818
1600,0.0,5902,0.3827641978848469,0.6530137935835425,0.6554162472160431
1600,0.25,6102,0.3408182421550974,0.541234120352264,0.542876085081142
1600,0.5,6302,0.30285009360266224,0.45545548225148186,0.45663370966193667
1600,0.75,6502,0.26868379212592775,0.38763670470995837,0.3885180651651409
1600,1.0,6702,0.23808099331754345,0.33273414764438736,0.3334171040190373
1600,1.25,6902,0.2108367445890815,0.28744989280576905,0.28799503301587925
1600,1.5,7102,0.18653095408520323,0.24954562607007175,0.24999163043732667
1600,1.75,7302,0.16492065093410482,0.21745012235797836,0.21782250593656163
1600,2.0,7502,0.14578070679885788,0.1900260888572219,0.19034218705232506
1600,2.25,7702,0.12879549583480887,0.1664270054166406,0.16669892158989089
1600,2.5,7902,0.11375753080825166,0.14600660921386333,0.14624301350909108
1600,2.75,8102,0.10047635341847316,0.12826014544389328,0.12846740337166176
1600,3.0,8302,0.08870903263937925,0.11278531829327215,0.1129682160346622
1600,3.25,8502,0.07830442855726572,0.09925575856491299,0.09941797890848432
1600,3.5,8702,0.06913848305000528,0.08740261652309374,0.08754705687608565
1600,3.75,8902,0.061032621655543684,0.07700153214218536,0.07713052043475117
1600,4.0,9102,0.05386883438995439,0.06786322779414558,0.0679786711849241
1600,4.25,9302,0.047540665198859314,0.059826582114591166,0.059930070798138446
1600,4.5,9502,0.0419526306506907,0.052753430903493465,0.05284631153037487
1600,4.75,9702,0.03702639219357587,0.046524589476456005,0.046608017777135545
1600,5.0,9902,0.03268022586302001,0.041036752968741014,0.041111732004636026
1600,5.25,10102,0.02884266829546452,0.03620003823305375,0.03626744662396137
1600,5.5,10302,0.02545472575486752,0.03193600264527831,0.03199661574486084
1600,5.75,10502,0.022464072717000478,0.028176023602227276,0.02823052966750735
1600,6.0,10702,0.019824355463416446,0.02485995560597398,0.024908968378611816
3200,-4.0,6513,0.9998158669311308,1.0,1.0
3200,-3.75,6913,0.9990057523949192,1.0,1.0
3200,-3.5,7313,0.996265370635755,1.0,1.0
3200,-3.25,7713,0.9893867410120156,1.0,1.0
3200,-3.0,8113,0.9756883504655913,1.0,1.0
3200,-2.75,8513,0.9528889620102163,1.0,1.0
3200,-2.5,8913,0.920006628826257,1.0,1.0
3200,-2.25,9313,0.877397374675942,1.0,1.0
3200,-2.0,9713,0.8267326574067833,1.0,1.0
3200,-1.75,10113,0.7702799274511085,1.0,1.0
3200,-1.5,10513,0.7106552131446571,1.0,1.0
3200,-1.25,10913,0.6501530912791402,1.0,1.0
3200,-1.0,11313,0.5905238848433251,1.0,1.0
3200,-0.75,11713,0.533244190983015,1.0,1.0
3200,-0.5,12113,0.47918908357184686,1.0,1.0
3200,-0.25,12513,0.42896626336134486,0.8060164174205688,0.8079521765268818
3200,0.0,12913,0.38287992198182663,0.6541778593024262,0.6554162472160431
3200,0.25,13313,0.3409239802047767,0.54203715543416,0.542876085081142
3200,0.5,13713,0.3029144062526409,0.456036665275315,0.45663370966193667
3200,0.75,14113,0.2688072810767179,0.38807478954426505,0.3885180651651409
3200,1.0,14513,0.23823353723279722,0.3330758820484725,0.3334171040190373
3200,1.25,14913,0.21093591024008418,0.28772420971466073,0.28799503301587925
3200,1.5,15313,0.1866270185820717,0.2497711025340585,0.24999163043732667
3200,1.75,15713,0.16501582480080645,0.21763908265342619,0.21782250593656163
3200,2.0,16113,0.14585748231658457,0.19018695475966924,0.19034218705232506
3200,2.25,16513,0.1288816010808706,0.16656569148811398,0.16669892158989089
3200,2.5,16913,0.11383002998535943,0.1461273776186083,0.14624301350909108
3200,2.75,17313,0.10054044225076192,0.1283661442382691,0.12846740337166176
3200,3.0,17713,0.08876987500273856,0.11287892858668218,0.1129682160346622
3200,3.25,18113,0.07837536043986322,0.09933882310333551,0.09941797890848432
3200,3.5,18513,0.06919227576744773,0.08747659294213064,0.08754705687608565
3200,3.75,18913,0.06107331019532272,0.07706759737181951,0.07713052043475117
3200,4.0,19313,0.053905674056774,0.0679223502254248,0.0679786711849241
3200,4.25,19713,0.04758253455281494,0.05987957216844237,0.059930070798138446
3200,4.5,20113,0.04199695026787628,0.05280097694287468,0.05284631153037487
3200,4.75,20513,0.037064379364609754,0.046567283660730936,0.046608017777135545
3200,5.0,20913,0.032709459565977386,0.041075110137216785,0.041111732004636026
3200,5.25,21313,0.02886518450077697,0.036234509912374625,0.03626744662396137
3200,5.5,21713,0.025475233975885934,0.031966987614980354,0.03199661574486084
3200,5.75,22113,0.022483246951847845,0.028203876008077673,0.02823052966750735
3200,6.0,22513,0.019842157805228324,0.024884991308405997,0.024908968378611816
