sigma_w2,sigma_b2,q_star,chi1_theory,xi_c_theory,c_star_theory,phase,chi1_empirical_corr,c_inf_empirical,chi1_empirical_grad,max_trainable_depth
2.5,0.0833,1.121147703147009,1.1105301993747076,9.538566287536575,0.6041428890312797,chaotic,0.9506960480802048,0.9316712246008286,1.1110911329887332,32
3.0,0.0833,1.4813342968420904,1.1907588310975714,5.7276794151545545,0.4258249933715453,chaotic,0.9376564112483358,0.7138859859091112,1.1890027212501086,32
3.5,0.0833,1.8570951040530383,1.2628847568971144,4.284515961507417,0.3183572925223756,chaotic,0.9322406452881726,0.46875890818643945,1.259755935584331,48
0.5,0.1667,0.25460099567542394,0.3571449419289156,0.971238161210865,0.9999999999999948,ordered,0.3748427113104594,1.0,0.34758019017038055,12
1.0,0.1667,0.40853415816629723,0.6300070609743081,2.1643885492651065,0.9999999999999883,ordered,0.6303636714132133,0.9999999999999994,0.6171882930532981,24
1.5,0.1667,0.6386214407768469,0.8199279837952471,5.036799684007964,0.9999999999999758,ordered,0.832946071474308,0.9999999970834554,0.8009061423485162,24
2.0,0.1667,0.9283045859567746,0.9554890789208056,21.962602267622582,0.9999999981623795,ordered,0.9186280914670027,0.9999874422332382,0.9450106532178342,24
2.5,0.1667,1.2567101041501814,1.0612208903350449,16.829342268268604,0.8331157505754992,chaotic,0.971070537073193,0.9903517021665629,1.058821855446129,32
3.0,0.1667,1.6101104175148506,1.1500730045791654,7.151775273651507,0.6346143198992493,chaotic,0.965442001143819,0.7798971207305673,1.152683552885353,32
3.5,0.1667,1.9805726773240515,1.228329152098932,4.862516409278749,0.5008820118489619,chaotic,0.9443739434047277,0.549566362282511,1.2261378671805274,32
0.5,0.25,0.3618463726040281,0.32613003032879495,0.8924912922671413,0.9999999999999964,ordered,0.34632041939427316,1.0,0.3155024090785838,12
1.0,0.25,0.534648656029385,0.579883887043951,1.8351068746397952,0.9999999999999946,ordered,0.5830250088068011,1.0,0.567282276031829,16
1.5,0.25,0.7714393318800343,0.7672854021580844,3.775060100474671,0.9999999999999897,ordered,0.7682633719629056,0.9999999999477932,0.747530487734553,24
2.0,0.25,1.0597064977338595,0.908225365933272,10.388236356699736,1.0000000000000013,ordered,0.898456841668331,0.9999980531396092,0.8913153603068227,32
2.5,0.25,1.3841064121689155,1.0204338074561516,49.43681992785319,0.9546603049998289,chaotic,0.9638219475796507,0.9971018118297164,1.0106865432996106,32
3.0,0.25,1.7333131801378507,1.1148174935069766,9.20041844641308,0.7632207160572553,chaotic,0.9740407942266183,0.9477528700059136,1.1141957199045438,32
3.5,0.25,2.1000632311017395,1.197441813049798,5.549775810376368,0.6238922051746756,chaotic,0.9622185850965572,0.6942082912215339,1.194906397253212,32
0.5,0.3333,0.46416488773327735,0.3031569858161853,0.8378686446418406,0.9999999999999973,ordered,0.3320550336094089,1.0,0.2934917218150448,8
1.0,0.3333,0.6512984760219561,0.5429485822870652,1.6373562019695092,0.9999999999999971,ordered,0.5490118230622225,1.0000000000000002,0.5306314760944251,16
1.5,0.3333,0.8944354939097277,0.7266971154703193,3.132385472671688,0.9999999999999898,ordered,0.7199929329251101,0.9999999999979664,0.706055507309358,16
2.0,0.3333,1.18329744230791,0.8696656010729297,7.160938112413903,1.0000000000000018,ordered,0.8613954821677918,0.9999998785072485,0.8603746015318664,24
2.5,0.3333,1.5057638036259178,0.9855895721574106,68.89298264084019,0.999910903128893,ordered,0.9801512559672295,0.9997934837064679,0.9754421034289769,32
3.0,0.3333,1.8523151342692286,1.083669900515473,12.445033890909437,0.8499071386372445,chaotic,0.9712145663407419,0.9475242071043033,1.0782027266019134,24
3.5,0.3333,2.216415053757036,1.1694836943732603,6.387231074670344,0.7129448162340891,chaotic,0.953298936700088,0.7055955118001164,1.1663456055952832,32
0.5,0.4167,0.5633744602226345,0.28503989776671856,0.7967326844492936,0.999999999999999,ordered,0.31479834014219893,1.0,0.277134446527576,8
1.0,0.4167,0.762189261530773,0.513749080141232,1.5014557281748149,0.9999999999999948,ordered,0.5255269997103876,1.0,0.504126653229465,16
1.5,0.4167,1.011172510302889,0.6936352661729489,2.733666950529412,1.0000000000000022,ordered,0.6925283966396664,0.9999999999999074,0.6754738778081859,24
2.0,0.4167,1.301514683791536,0.8370571215222375,5.622305905301064,1.0000000000000009,ordered,0.8322849619983576,0.9999999908366262,0.8246594206913134,16
2.5,0.4167,1.6232046934532427,0.9551384433262631,21.786975497681855,0.99999999907477,ordered,0.9241870155602461,0.9999738393549139,0.9525907754881477,24
3.0,0.4167,1.9680843122039955,1.0557396112084358,18.43604297415459,0.9114159343350824,chaotic,0.9671404008895387,0.9844875208862941,1.0477217921108706,32
3.5,0.4167,2.330279056737833,1.1439160525730108,7.437293778714758,0.7802223742662032,chaotic,0.9504937348369743,0.8112629154573213,1.142287384743439,24
0.5,0.5,0.6601671998317965,0.2702126131224745,0.7642068885148063,0.9999999999999993,ordered,0.3005209699094631,1.0,0.2640980907847831,8
1.0,0.5,0.8688687326947293,0.48973184394204433,1.4007617161319184,0.9999999999999954,ordered,0.5034397746345834,0.9999999999999998,0.4838484329338841,16
1.5,0.5,1.1232128334696738,0.6658358144328068,2.4587413144443286,1.0000000000000007,ordered,0.6640399568951303,0.9999999999999944,0.6525412151955731,16
2.0,0.5,1.41545366913306,0.8088815129891789,4.714694200122351,1.0000000000000002,ordered,0.8153895218264648,0.9999999987966529,0.7911875334486759,24
2.5,0.5,1.7370666218427309,0.9281614540247292,13.41389167621752,0.9999999999999967,ordered,0.8882857707667101,0.9999981759131764,0.92181755304897,32
3.0,0.5,2.0809408831881617,1.0304824478720245,33.30326207442414,0.9563794864961827,chaotic,0.9762513914692159,0.9974920941104065,1.0204318704260693,24
3.5,0.5,2.4417761481455686,1.120414397985737,8.795181887929733,0.832378377871036,chaotic,0.9642941610079844,0.9076278941282064,1.1130534008346695,32
